Designator,Mid X,Mid Y,Rotation,Layer
C1_5,12.242,-106.6875,180.0,top
C1_4,12.242,-79.6875,180.0,top
C1_3,12.242,-52.6875,180.0,top
C1_2,12.242,-25.6875,180.0,top
C1,12.242,-133.6875,180.0,top
C2_5,12.642,-54.2875,90.0,top
C2_4,12.642,-27.2875,90.0,top
C2_3,12.642,-108.2875,90.0,top
C2_2,12.642,-81.2875,90.0,top
C2,12.642,-135.2875,90.0,top
C3_5,11.717,-135.2875,90.0,top
C3_4,11.717,-54.2875,90.0,top
C3_3,11.717,-27.2875,90.0,top
C3_2,11.717,-81.2875,90.0,top
C3,11.717,-108.2875,90.0,top
C4_5,17.442,-81.2875,90.0,top
C4_4,17.442,-108.2875,90.0,top
C4_3,17.442,-54.2875,90.0,top
C4_2,17.442,-135.2875,90.0,top
C4,17.442,-27.2875,90.0,top
C5_5,12.242,-51.6,180.0,top
C5_4,12.242,-24.6,180.0,top
C5_3,12.242,-132.6,180.0,top
C5_2,12.242,-105.6,180.0,top
C5,12.242,-78.6,180.0,top
C6_5,18.2,-24.85,180.0,top
C6_4,18.2,-105.85,180.0,top
C6_3,18.2,-78.85,180.0,top
C6_2,18.2,-51.85,180.0,top
C6,18.2,-132.85,180.0,top
D1_5,29.8,-17.4,90.0,top
D1_4,29.8,-71.4,90.0,top
D1_3,29.8,-98.4,90.0,top
D1_2,29.8,-44.4,90.0,top
D1,29.8,-125.4,90.0,top
D2_5,20.6,-140.5,0.0,top
D2_4,20.6,-113.5,0.0,top
D2_3,20.6,-59.5,0.0,top
D2_2,20.6,-32.5,0.0,top
D2,20.6,-86.5,0.0,top
D3_5,27.4,-44.4,90.0,top
D3_4,27.4,-17.4,90.0,top
D3_3,27.4,-71.4,90.0,top
D3_2,27.4,-125.4,90.0,top
D3,27.4,-98.4,90.0,top
D4_5,20.6,-84.1,0.0,top
D4_4,20.6,-30.1,0.0,top
D4_3,20.6,-138.1,0.0,top
D4_2,20.6,-57.1,0.0,top
D4,20.6,-111.1,0.0,top
J2_5,30.945,-82.3,0.0,top
J2_4,30.945,-109.3,0.0,top
J2_3,30.945,-136.3,0.0,top
J2_2,30.945,-55.3,0.0,top
J2,30.945,-28.3,0.0,top
L1_5,15.067,-31.4125,180.0,top
L1_4,15.067,-58.4125,180.0,top
L1_3,15.067,-139.4125,180.0,top
L1_2,15.067,-112.4125,180.0,top
L1,15.067,-85.4125,180.0,top
R1_5,34.1,-99.1,0.0,top
R1_4,34.1,-18.1,0.0,top
R1_3,34.1,-45.1,0.0,top
R1_2,34.1,-126.1,0.0,top
R1,34.1,-72.1,0.0,top
R2_5,34.1,-97.8,0.0,top
R2_4,34.1,-70.8,0.0,top
R2_3,34.1,-43.8,0.0,top
R2_2,34.1,-16.8,0.0,top
R2,34.1,-124.8,0.0,top
R3_5,20.942,-82.2,180.0,top
R3_4,20.942,-136.2,180.0,top
R3_3,20.942,-109.2,180.0,top
R3_2,20.942,-55.2,180.0,top
R3,20.942,-28.2,180.0,top
R4_5,20.942,-79.0,0.0,top
R4_4,20.942,-52.0,0.0,top
R4_3,20.942,-25.0,0.0,top
R4_2,20.942,-133.0,0.0,top
R4,20.942,-106.0,0.0,top
R5_5,20.942,-80.6,180.0,top
R5_4,20.942,-26.6,180.0,top
R5_3,20.942,-134.6,180.0,top
R5_2,20.942,-53.6,180.0,top
R5,20.942,-107.6,180.0,top
R7_5,27.745,-104.3625,90.0,top
R7_4,27.745,-131.3625,90.0,top
R7_3,27.745,-23.3625,90.0,top
R7_2,27.745,-50.3625,90.0,top
R7,27.745,-77.3625,90.0,top
R9_5,34.845,-50.2625,270.0,top
R9_4,34.845,-77.2625,270.0,top
R9_3,34.845,-23.2625,270.0,top
R9_2,34.845,-131.2625,270.0,top
R9,34.845,-104.2625,270.0,top
SW1_5,21.8,-101.2,90.0,top
SW1_4,21.8,-128.2,90.0,top
SW1_3,21.8,-47.2,90.0,top
SW1_2,21.8,-20.2,90.0,top
SW1,21.8,-74.2,90.0,top
SW2_5,15.3,-128.2,270.0,top
SW2_4,15.3,-101.2,270.0,top
SW2_3,15.3,-74.2,270.0,top
SW2_2,15.3,-47.2,270.0,top
SW2,15.3,-20.2,270.0,top
U1_5,14.992,-108.2625,90.0,top
U1_4,14.992,-54.2625,90.0,top
U1_3,14.992,-27.2625,90.0,top
U1_2,14.992,-81.2625,90.0,top
U1,14.992,-135.2625,90.0,top
U2_5,47.54268,-47.23288,0.0,top
U2_4,47.54268,-101.23288,0.0,top
U2_3,47.54268,-74.23288,0.0,top
U2_2,47.54268,-128.23288,0.0,top
U2,47.54268,-20.23288,0.0,top
U3_5,30.845,-23.2625,90.0,top
U3_4,30.845,-50.2625,90.0,top
U3_3,30.845,-131.2625,90.0,top
U3_2,30.845,-77.2625,90.0,top
U3,30.845,-104.2625,90.0,top
